+-------------------------+----------+
|                   Device|count(s_0)|
|root.db.g_0.d_aligned_480|    914300|
|root.db.g_0.d_aligned_481|    914300|
|root.db.g_0.d_aligned_482|    914300|
|root.db.g_0.d_aligned_483|    914300|
|root.db.g_0.d_aligned_484|    914300|
|root.db.g_0.d_aligned_485|    914300|
|root.db.g_0.d_aligned_486|    914300|
|root.db.g_0.d_aligned_487|    914300|
|root.db.g_0.d_aligned_488|    914300|
|root.db.g_0.d_aligned_489|    914300|
| root.db.g_0.d_aligned_49|    911600|
|root.db.g_0.d_aligned_490|    914300|
|root.db.g_0.d_aligned_491|    914300|
|root.db.g_0.d_aligned_492|    914300|
|root.db.g_0.d_aligned_493|    914300|
|root.db.g_0.d_aligned_494|    914300|
|root.db.g_0.d_aligned_495|    914300|
|root.db.g_0.d_aligned_496|    914300|
|root.db.g_0.d_aligned_497|    914300|
|root.db.g_0.d_aligned_498|    914300|
|root.db.g_0.d_aligned_499|    914300|
|  root.db.g_0.d_aligned_5|    911600|
| root.db.g_0.d_aligned_50|    910700|
|root.db.g_0.d_aligned_500|    908500|
|root.db.g_0.d_aligned_501|    908500|
|root.db.g_0.d_aligned_502|    908500|
|root.db.g_0.d_aligned_503|    908500|
|root.db.g_0.d_aligned_504|    908500|
|root.db.g_0.d_aligned_505|    908500|
|root.db.g_0.d_aligned_506|    908500|
|root.db.g_0.d_aligned_507|    908500|
|root.db.g_0.d_aligned_508|    908500|
|root.db.g_0.d_aligned_509|    908500|
| root.db.g_0.d_aligned_51|    910700|
|root.db.g_0.d_aligned_510|    908500|
|root.db.g_0.d_aligned_511|    908500|
|root.db.g_0.d_aligned_512|    908500|
|root.db.g_0.d_aligned_513|    908500|
|root.db.g_0.d_aligned_514|    908500|
|root.db.g_0.d_aligned_515|    908500|
|root.db.g_0.d_aligned_516|    908500|
|root.db.g_0.d_aligned_517|    908500|
|root.db.g_0.d_aligned_518|    908500|
|root.db.g_0.d_aligned_519|    908500|
| root.db.g_0.d_aligned_52|    910700|
|root.db.g_0.d_aligned_520|    908500|
|root.db.g_0.d_aligned_521|    908500|
|root.db.g_0.d_aligned_522|    908500|
|root.db.g_0.d_aligned_523|    908500|
|root.db.g_0.d_aligned_524|    908500|
|root.db.g_0.d_aligned_525|    908500|
|root.db.g_0.d_aligned_526|    908500|
|root.db.g_0.d_aligned_527|    908500|
|root.db.g_0.d_aligned_528|    908500|
|root.db.g_0.d_aligned_529|    908500|
| root.db.g_0.d_aligned_53|    910700|
|root.db.g_0.d_aligned_530|    908500|
|root.db.g_0.d_aligned_531|    908500|
|root.db.g_0.d_aligned_532|    908500|
|root.db.g_0.d_aligned_533|    908500|
|root.db.g_0.d_aligned_534|    908500|
|root.db.g_0.d_aligned_535|    908500|
|root.db.g_0.d_aligned_536|    908500|
|root.db.g_0.d_aligned_537|    908500|
|root.db.g_0.d_aligned_538|    908500|
|root.db.g_0.d_aligned_539|    908500|
| root.db.g_0.d_aligned_54|    910700|
|root.db.g_0.d_aligned_540|    908500|
|root.db.g_0.d_aligned_541|    908500|
|root.db.g_0.d_aligned_542|    908500|
|root.db.g_0.d_aligned_543|    908500|
|root.db.g_0.d_aligned_544|    908500|
|root.db.g_0.d_aligned_545|    908500|
|root.db.g_0.d_aligned_546|    908500|
|root.db.g_0.d_aligned_547|    908500|
|root.db.g_0.d_aligned_548|    908500|
|root.db.g_0.d_aligned_549|    908500|
| root.db.g_0.d_aligned_55|    910700|
|root.db.g_0.d_aligned_550|    909600|
|root.db.g_0.d_aligned_551|    909600|
|root.db.g_0.d_aligned_552|    909600|
|root.db.g_0.d_aligned_553|    909600|
|root.db.g_0.d_aligned_554|    909600|
|root.db.g_0.d_aligned_555|    909600|
|root.db.g_0.d_aligned_556|    909600|
|root.db.g_0.d_aligned_557|    909600|
|root.db.g_0.d_aligned_558|    909600|
|root.db.g_0.d_aligned_559|    909600|
| root.db.g_0.d_aligned_56|    910700|
|root.db.g_0.d_aligned_560|    909600|
|root.db.g_0.d_aligned_561|    909600|
|root.db.g_0.d_aligned_562|    909600|
|root.db.g_0.d_aligned_563|    909600|
|root.db.g_0.d_aligned_564|    909600|
|root.db.g_0.d_aligned_565|    909600|
|root.db.g_0.d_aligned_566|    909600|
|root.db.g_0.d_aligned_567|    909600|
|root.db.g_0.d_aligned_568|    909600|
|root.db.g_0.d_aligned_569|    909600|
| root.db.g_0.d_aligned_57|    910700|
|root.db.g_0.d_aligned_570|    909600|
|root.db.g_0.d_aligned_571|    909600|
|root.db.g_0.d_aligned_572|    909600|
|root.db.g_0.d_aligned_573|    909600|
|root.db.g_0.d_aligned_574|    909600|
|root.db.g_0.d_aligned_575|    909600|
|root.db.g_0.d_aligned_576|    909600|
|root.db.g_0.d_aligned_577|    909600|
|root.db.g_0.d_aligned_578|    909600|
|root.db.g_0.d_aligned_579|    909600|
| root.db.g_0.d_aligned_58|    910700|
|root.db.g_0.d_aligned_580|    909600|
|root.db.g_0.d_aligned_581|    909600|
|root.db.g_0.d_aligned_582|    909600|
|root.db.g_0.d_aligned_583|    909600|
|root.db.g_0.d_aligned_584|    909600|
|root.db.g_0.d_aligned_585|    909600|
|root.db.g_0.d_aligned_586|    909600|
|root.db.g_0.d_aligned_587|    909600|
|root.db.g_0.d_aligned_588|    909600|
|root.db.g_0.d_aligned_589|    909600|
| root.db.g_0.d_aligned_59|    910700|
|root.db.g_0.d_aligned_590|    909600|
|root.db.g_0.d_aligned_591|    909600|
|root.db.g_0.d_aligned_592|    909600|
|root.db.g_0.d_aligned_593|    909600|
|root.db.g_0.d_aligned_594|    909600|
|root.db.g_0.d_aligned_595|    909600|
|root.db.g_0.d_aligned_596|    909600|
|root.db.g_0.d_aligned_597|    909600|
|root.db.g_0.d_aligned_598|    909600|
|root.db.g_0.d_aligned_599|    909600|
|  root.db.g_0.d_aligned_6|    911600|
| root.db.g_0.d_aligned_60|    910700|
|root.db.g_0.d_aligned_600|    908900|
|root.db.g_0.d_aligned_601|    908900|
|root.db.g_0.d_aligned_602|    908900|
|root.db.g_0.d_aligned_603|    908900|
|root.db.g_0.d_aligned_604|    908900|
|root.db.g_0.d_aligned_605|    908900|
|root.db.g_0.d_aligned_606|    908900|
|root.db.g_0.d_aligned_607|    908900|
|root.db.g_0.d_aligned_608|    908900|
|root.db.g_0.d_aligned_609|    908900|
| root.db.g_0.d_aligned_61|    910700|
|root.db.g_0.d_aligned_610|    908900|
|root.db.g_0.d_aligned_611|    908900|
|root.db.g_0.d_aligned_612|    908900|
|root.db.g_0.d_aligned_613|    908900|
|root.db.g_0.d_aligned_614|    908900|
|root.db.g_0.d_aligned_615|    908900|
|root.db.g_0.d_aligned_616|    908900|
|root.db.g_0.d_aligned_617|    908900|
|root.db.g_0.d_aligned_618|    908900|
|root.db.g_0.d_aligned_619|    908900|
| root.db.g_0.d_aligned_62|    910700|
|root.db.g_0.d_aligned_620|    908900|
|root.db.g_0.d_aligned_621|    908900|
|root.db.g_0.d_aligned_622|    908900|
|root.db.g_0.d_aligned_623|    908900|
|root.db.g_0.d_aligned_624|    908900|
|root.db.g_0.d_aligned_625|    908900|
|root.db.g_0.d_aligned_626|    908900|
|root.db.g_0.d_aligned_627|    908900|
|root.db.g_0.d_aligned_628|    908900|
|root.db.g_0.d_aligned_629|    908900|
| root.db.g_0.d_aligned_63|    910700|
|root.db.g_0.d_aligned_630|    908900|
|root.db.g_0.d_aligned_631|    908900|
|root.db.g_0.d_aligned_632|    908900|
|root.db.g_0.d_aligned_633|    908900|
|root.db.g_0.d_aligned_634|    908900|
|root.db.g_0.d_aligned_635|    908900|
|root.db.g_0.d_aligned_636|    908900|
|root.db.g_0.d_aligned_637|    908900|
|root.db.g_0.d_aligned_638|    908900|
|root.db.g_0.d_aligned_639|    908900|
| root.db.g_0.d_aligned_64|    910700|
|root.db.g_0.d_aligned_640|    908900|
|root.db.g_0.d_aligned_641|    908900|
|root.db.g_0.d_aligned_642|    908900|
|root.db.g_0.d_aligned_643|    908900|
|root.db.g_0.d_aligned_644|    908900|
|root.db.g_0.d_aligned_645|    908900|
|root.db.g_0.d_aligned_646|    908900|
|root.db.g_0.d_aligned_647|    908900|
|root.db.g_0.d_aligned_648|    908900|
|root.db.g_0.d_aligned_649|    908900|
| root.db.g_0.d_aligned_65|    910700|
|root.db.g_0.d_aligned_650|    909900|
|root.db.g_0.d_aligned_651|    909900|
|root.db.g_0.d_aligned_652|    909900|
|root.db.g_0.d_aligned_653|    909900|
|root.db.g_0.d_aligned_654|    909900|
|root.db.g_0.d_aligned_655|    909900|
|root.db.g_0.d_aligned_656|    909900|
|root.db.g_0.d_aligned_657|    909900|
|root.db.g_0.d_aligned_658|    909900|
|root.db.g_0.d_aligned_659|    909900|
| root.db.g_0.d_aligned_66|    910700|
|root.db.g_0.d_aligned_660|    909900|
|root.db.g_0.d_aligned_661|    909900|
|root.db.g_0.d_aligned_662|    909900|
|root.db.g_0.d_aligned_663|    909900|
|root.db.g_0.d_aligned_664|    909900|
|root.db.g_0.d_aligned_665|    909900|
