+---------+------+
|device_id| _col1|
|   d_1955|906700|
|   d_1956|906700|
|   d_1957|906700|
|   d_1958|906700|
|   d_1959|906700|
|    d_196|907900|
|   d_1960|906700|
|   d_1961|906700|
|   d_1962|906700|
|   d_1963|906700|
|   d_1964|906700|
|   d_1965|906700|
|   d_1966|906700|
|   d_1967|906700|
|   d_1968|906700|
|   d_1969|906700|
|    d_197|907900|
|   d_1970|906700|
|   d_1971|906700|
|   d_1972|906700|
|   d_1973|906700|
|   d_1974|906700|
|   d_1975|906700|
|   d_1976|906700|
|   d_1977|906700|
|   d_1978|906700|
|   d_1979|906700|
|    d_198|907900|
|   d_1980|906700|
|   d_1981|906700|
|   d_1982|906700|
|   d_1983|906700|
|   d_1984|906700|
|   d_1985|906700|
|   d_1986|906700|
|   d_1987|906700|
|   d_1988|906700|
|   d_1989|906700|
|    d_199|907900|
|   d_1990|906700|
|   d_1991|906700|
|   d_1992|906700|
|   d_1993|906700|
|   d_1994|906700|
|   d_1995|906700|
|   d_1996|906700|
|   d_1997|906700|
|   d_1998|906700|
|   d_1999|906700|
|      d_2|911600|
|     d_20|911600|
|    d_200|911400|
|    d_201|911400|
|    d_202|911400|
|    d_203|911400|
|    d_204|911400|
|    d_205|911400|
|    d_206|911400|
|    d_207|911400|
|    d_208|911400|
|    d_209|911400|
|     d_21|911600|
|    d_210|911400|
|    d_211|911400|
|    d_212|911400|
|    d_213|911400|
|    d_214|911400|
|    d_215|911400|
|    d_216|911400|
|    d_217|911400|
|    d_218|911400|
|    d_219|911400|
|     d_22|911600|
|    d_220|911400|
|    d_221|911400|
|    d_222|911400|
|    d_223|911400|
|    d_224|911400|
|    d_225|911400|
|    d_226|911400|
|    d_227|911400|
|    d_228|911400|
|    d_229|911400|
|     d_23|911600|
|    d_230|911400|
|    d_231|911400|
|    d_232|911400|
|    d_233|911400|
|    d_234|911400|
|    d_235|911400|
|    d_236|911400|
|    d_237|911400|
|    d_238|911400|
|    d_239|911400|
|     d_24|911600|
|    d_240|911400|
|    d_241|911400|
|    d_242|911400|
|    d_243|911400|
|    d_244|911400|
|    d_245|911400|
|    d_246|911400|
|    d_247|911400|
|    d_248|911400|
|    d_249|911400|
|     d_25|911600|
|    d_250|910900|
|    d_251|910900|
|    d_252|910900|
|    d_253|910900|
|    d_254|910900|
|    d_255|910900|
|    d_256|910900|
|    d_257|910900|
|    d_258|910900|
|    d_259|910900|
|     d_26|911600|
|    d_260|910900|
|    d_261|910900|
|    d_262|910900|
|    d_263|910900|
|    d_264|910900|
|    d_265|910900|
|    d_266|910900|
|    d_267|910900|
|    d_268|910900|
|    d_269|910900|
|     d_27|911600|
|    d_270|910900|
|    d_271|910900|
|    d_272|910900|
|    d_273|910900|
|    d_274|910900|
|    d_275|910900|
|    d_276|910900|
|    d_277|910900|
|    d_278|910900|
|    d_279|910900|
|     d_28|911600|
|    d_280|910900|
|    d_281|910900|
|    d_282|910900|
|    d_283|910900|
|    d_284|910900|
|    d_285|910900|
|    d_286|910900|
|    d_287|910900|
|    d_288|910900|
|    d_289|910900|
|     d_29|911600|
|    d_290|910900|
|    d_291|910900|
|    d_292|910900|
|    d_293|910900|
|    d_294|910900|
|    d_295|910900|
|    d_296|910900|
|    d_297|910900|
|    d_298|910900|
|    d_299|910900|
|      d_3|911600|
|     d_30|911600|
|    d_300|908100|
|    d_301|908100|
|    d_302|908100|
|    d_303|908100|
|    d_304|908100|
|    d_305|908100|
|    d_306|908100|
|    d_307|908100|
|    d_308|908100|
|    d_309|908100|
|     d_31|911600|
|    d_310|908100|
|    d_311|908100|
|    d_312|908100|
|    d_313|908100|
|    d_314|908100|
|    d_315|908100|
|    d_316|908100|
|    d_317|908100|
|    d_318|908100|
|    d_319|908100|
|     d_32|911600|
|    d_320|908100|
|    d_321|908100|
|    d_322|908100|
|    d_323|908100|
|    d_324|908100|
|    d_325|908100|
